cadet_id,name,course,home_base,total_required_hours,total_flown_hours,enrollment_date
C001,Arjun Menon,PPL,B02,179,107,2026-01-04
C002,Meera Iyer,PPL,B01,111,103,2025-06-18
C003,Rahul Nair,PPL,B01,127,71,2025-09-11
C004,Priya Sharma,CPL,B01,66,11,2025-10-25
C005,Amit Desai,PPL,B02,128,67,2025-10-14
C006,Anjali Singh,PPL,B02,71,48,2025-07-15
C007,Rohan Verma,PPL,B01,198,92,2025-05-29
C008,Neha Patel,CPL,B01,98,98,2026-03-23
C009,Vikram Kumar,CPL,B02,65,48,2025-12-17
C010,Zara Khan,CPL,B02,133,41,2025-05-25
C011,Aditya Gupta,PPL,B01,108,89,2025-12-29
C012,Simran Malhotra,CPL,B02,102,20,2025-07-16
C013,Aryan Saxena,CPL,B01,182,56,2025-11-28
C014,Diya Yadav,CPL,B02,48,20,2025-12-19
C015,Karan Reddy,CPL,B01,94,72,2026-03-13
C016,Pooja Nambiar,CPL,B01,167,101,2025-05-15
C017,Sanjay Iyer,CPL,B02,75,31,2025-12-01
C018,Tanvi Chopra,PPL,B01,142,92,2025-06-21
C019,Varun Pillai,PPL,B01,166,23,2025-07-29
C020,Isha Bhat,CPL,B01,200,40,2026-01-27
C021,Ravi Kumar,CPL,B01,137,119,2025-09-30
C022,Sneha Das,CPL,B01,177,68,2026-02-16
C023,Nikhil Sharma,CPL,B01,151,40,2025-11-16
C024,Shreya Kapoor,PPL,B02,168,45,2025-12-02
C025,Arun Naidu,PPL,B01,169,155,2025-05-23
C026,Divya Sinha,PPL,B02,81,69,2025-10-06
C027,Manish Rao,CPL,B02,44,7,2025-08-08
C028,Geetika Sharma,PPL,B01,54,15,2025-12-14
C029,Harshit Jain,PPL,B01,57,48,2025-08-10
C030,Oindrila Roy,CPL,B02,180,42,2025-08-15
